id,distribution,duration,t2y,t5y,t10y,t25y,t50y,t100y,t200y,data_years,name,x_97,y_97,org
467480,LPT3,48,262.4395944,398.9305053,513.9098815,692.0018324,851.9340777,1038.404336,1256.258202,46,嘉義,192079.17,2599311.6,中央氣象局
467480,LPT3,72,294.1011486,439.1751509,560.5693259,747.5784442,914.7433103,1108.953179,1335.114648,46,嘉義,192079.17,2599311.6,中央氣象局
467490,LPT3,1,54.12374185,73.41532889,87.14246934,105.5912953,120.1577865,135.4475594,151.5914053,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,3,93.03830278,130.9117564,160.6851461,204.179391,241.2294907,282.6069274,328.990201,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,6,108.1944877,160.5480699,201.424759,260.6699507,310.6968947,366.1028809,427.6581694,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,12,153.00257,229.8370273,289.6555463,376.0604517,448.7542214,528.9927575,617.8222551,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,24,199.8191478,302.6862,377.9903296,480.7973482,562.7727381,649.2688296,740.8787832,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,48,255.1858291,379.996175,465.9344153,577.1259316,661.4668735,746.8901553,833.8592421,108,臺中,217896.01,2671195.34,中央氣象局
467490,LPT3,72,282.7869702,414.9824224,505.053553,620.7200789,707.9141405,795.8229915,884.9553334,108,臺中,217896.01,2671195.34,中央氣象局
467530,LPT3,1,59.9756148,80.60935855,94.78248598,113.2799188,127.5000839,142.1075349,157.2150348,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,3,142.8591504,198.2107676,233.2944802,275.8467969,306.3439901,335.8981261,364.7735166,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,6,234.4181369,332.8393278,395.980066,473.1305475,528.7253681,582.7938468,635.7731673,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,12,375.0372072,549.4971188,659.0049254,789.4466587,880.9424853,967.8404005,1050.9686,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,24,514.3961604,782.9034703,973.9809941,1228.015388,1425.475284,1629.411262,1840.914778,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,48,641.8117152,999.1893856,1265.538175,1633.953057,1930.912626,2246.80014,2583.820389,55,阿里山,230923.12,2600571.82,中央氣象局
467530,LPT3,72,701.3669489,1103.307301,1412.363241,1851.810995,2215.233824,2610.094003,3040.105868,55,阿里山,230923.12,2600571.82,中央氣象局
467540,LPT3,1,50.63321851,65.12713279,74.10316995,84.87298226,92.54829253,99.97123567,107.221771,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,3,95.60247833,130.5883939,153.8371255,183.2901862,205.3022261,227.3900185,249.7175566,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,6,131.7851722,181.1252542,215.8030481,261.8870821,297.8823091,335.3223526,374.4999879,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,12,176.1196814,251.5326109,310.0313669,394.4896469,465.6341789,544.3328365,631.7143994,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,24,236.16778,344.0881396,432.700287,567.0258285,685.3668893,821.2370551,977.6764732,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,48,309.4268934,451.8237381,569.6459946,749.4421136,908.8203285,1092.751476,1305.602317,55,大武,240092.13,2472943.94,中央氣象局
467540,LPT3,72,357.8611555,523.2104828,652.0138639,838.4720149,995.8216119,1170.059545,1363.650227,55,大武,240092.13,2472943.94,中央氣象局
467550,LPT3,1,34.01224414,43.96940408,50.77496038,59.63694698,66.44309566,73.43393264,80.66696902,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,3,79.55558236,105.5021355,122.9976752,145.4963679,162.5671023,179.9217361,197.6957005,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,6,133.6501569,176.1307398,204.4250149,240.4509242,267.5430541,294.8913861,322.7132724,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,12,212.3171937,279.1967352,323.6978025,380.3202758,422.8778967,465.8208158,509.4919964,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,24,301.3040069,407.3538485,483.5621044,586.8518823,669.0468705,755.8821897,848.1458943,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,48,378.885272,540.9049711,674.6496605,878.3344366,1058.611742,1266.4603,1506.828455,55,玉山,245863.31,2598278.76,中央氣象局
467550,LPT3,72,421.9707825,627.2803986,804.8733526,1086.569509,1345.388036,1653.215231,2020.165043,55,玉山,245863.31,2598278.76,中央氣象局
467570,LPT3,1,46.87001113,63.81316142,76.10099067,92.88033021,106.3223527,120.5994438,135.8464526,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,3,89.96580363,118.924624,139.3555139,166.6458153,188.085882,210.5085753,234.107922,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,6,115.0929682,160.6068792,194.9316443,243.3416239,283.269375,326.6883127,374.114793,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,12,146.5938908,205.4401886,248.5278966,307.766955,355.4830437,406.3632062,460.8859659,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,24,186.0756723,260.0992298,309.087658,370.7676064,416.541668,462.1765227,507.9969463,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,48,227.3550507,320.5378825,381.7445917,458.2117466,514.515873,570.2711588,625.8776932,32,新竹,247735.3,2743669.99,中央氣象局
467570,LPT3,72,249.3222301,348.0661583,413.1960276,494.9693586,555.4995019,615.7210059,676.0682896,32,新竹,247735.3,2743669.99,中央氣象局
467571,LPT3,1,42.87761856,59.01400595,71.9602493,91.19672681,107.844338,126.6871942,148.0938096,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,3,78.34581086,110.1112405,130.9007058,156.8004877,175.8239801,194.6259585,213.3443365,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,6,103.3810279,142.5159241,167.7001311,198.6876313,221.2097835,243.2932678,265.1196005,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,12,136.7034074,181.5872859,206.1045711,232.2964287,248.9599611,263.6197806,276.6672277,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,24,166.7449783,229.4449329,268.3854228,314.8212476,347.5881699,378.9485419,409.2269624,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,48,202.9786284,284.3157821,334.9374686,395.2465048,437.7094409,478.2464075,517.2698897,23,新竹,251435.34,2746715.75,中央氣象局
467571,LPT3,72,238.8921945,335.5050818,393.6221639,460.712223,506.525634,549.1613696,589.1951294,23,新竹,251435.34,2746715.75,中央氣象局
467590,LPT3,1,53.56249729,73.57237182,88.10430402,107.9640384,123.8819563,140.7932764,158.8560975,99,恆春,223805.67,2434010.63,中央氣象局
467590,LPT3,3,100.5747297,141.3823918,171.4747575,213.0937479,246.7988034,282.8970623,321.7433223,99,恆春,223805.67,2434010.63,中央氣象局
467590,LPT3,6,119.3814167,171.3371788,210.2995542,264.912422,309.6627955,358.0366898,410.5478702,99,恆春,223805.67,2434010.63,中央氣象局
467590,LPT3,12,185.4632054,257.282011,305.1175605,365.7416575,411.0291121,456.434312,502.2810143,99,恆春,223805.67,2434010.63,中央氣象局
